기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2020	광진구	소계	12,353	7,194	5,159	5,593	3,163	2,430	1,221	707	514	1,316	810	506	1,702	971	731	92	68	24	812	478	334	174	146	28	513	264	249	600	347	253	37	27	10	65	51	14	69	52	17	8	4	4	109	81	28	42	25	17
2020	광진구	화양동	541	312	229	247	129	118	55	25	30	69	45	24	76	52	24	3	1	2	29	17	12	5	5	0	17	10	7	24	17	7	1	1	0	4	4	0	2	0	2	0	0	0	9	6	3	0	0	0
2020	광진구	군자동	795	458	337	367	202	165	74	46	28	83	49	34	104	59	45	8	6	2	56	29	27	5	4	1	39	24	15	44	27	17	0	0	0	4	4	0	5	4	1	0	0	0	3	2	1	3	2	1
2020	광진구	중곡1동	674	394	280	303	169	134	58	32	26	65	40	25	96	58	38	10	6	4	39	22	17	9	8	1	43	28	15	33	19	14	4	3	1	6	5	1	3	1	2	1	0	1	2	2	0	2	1	1
2020	광진구	중곡2동	872	510	362	400	226	174	87	47	40	81	46	35	139	92	47	3	0	3	47	26	21	12	10	2	44	24	20	37	21	16	1	0	1	6	6	0	4	3	1	0	0	0	9	8	1	2	1	1
2020	광진구	중곡3동	754	467	287	351	202	149	57	38	19	81	57	24	93	57	36	9	7	2	53	32	21	8	8	0	38	21	17	42	27	15	7	5	2	3	3	0	6	6	0	1	1	0	3	2	1	2	1	1
2020	광진구	중곡4동	1,328	761	567	610	347	263	126	80	46	137	83	54	178	97	81	10	7	3	88	49	39	17	16	1	77	34	43	52	25	27	4	4	0	5	2	3	7	7	0	1	0	1	11	7	4	5	3	2
2020	광진구	능동	382	227	155	174	98	76	42	25	17	46	30	16	48	27	21	1	1	0	27	18	9	4	1	3	17	14	3	15	8	7	0	0	0	2	1	1	1	1	0	0	0	0	4	2	2	1	1	0
2020	광진구	구의1동	814	476	338	357	208	149	87	50	37	102	63	39	103	57	46	6	4	2	51	34	17	8	6	2	34	18	16	46	24	22	2	1	1	3	2	1	2	1	1	1	1	0	7	4	3	5	3	2
2020	광진구	구의2동	1,091	644	447	496	289	207	107	64	43	121	80	41	147	83	64	6	5	1	80	40	40	15	14	1	37	15	22	49	28	21	7	6	1	3	3	0	8	6	2	1	1	0	7	5	2	7	5	2
2020	광진구	구의3동	802	437	365	350	191	159	91	50	41	78	38	40	114	58	56	7	5	2	65	40	25	21	16	5	17	8	9	38	16	22	1	1	0	3	3	0	6	4	2	2	1	1	8	5	3	1	1	0
2020	광진구	광장동	725	434	291	304	172	132	86	50	36	86	62	24	92	49	43	6	6	0	55	38	17	20	17	3	20	7	13	31	15	16	2	1	1	4	3	1	9	7	2	0	0	0	9	7	2	1	0	1
2020	광진구	자양1동	947	536	411	427	238	189	83	47	36	112	66	46	128	69	59	8	7	1	57	32	25	10	9	1	30	12	18	62	36	26	4	1	3	6	3	3	3	3	0	1	0	1	9	8	1	7	5	2
2020	광진구	자양2동	945	557	388	425	256	169	104	65	39	90	51	39	136	72	64	3	3	0	72	40	32	15	13	2	41	21	20	31	20	11	1	1	0	9	5	4	5	3	2	0	0	0	9	6	3	4	1	3
